epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,163.821,1.42181,1.11734,1.66667,0.52294,0.48333,0.49929,0.23044,2.0263,1.67652,2.45893,0.000462281,0.000462281,0.000462281
43,166.973,1.32246,1.0351,1.53837,0.41909,0.51111,0.45205,0.24468,1.9695,1.6392,2.36468,0.000438703,0.000438703,0.000438703
44,170.164,1.39392,1.01941,1.61797,0.92834,0.436,0.51095,0.22767,2.03283,1.54916,2.46521,0.000415124,0.000415124,0.000415124
45,173.266,1.32256,0.96242,1.62832,0.54329,0.56667,0.51947,0.22415,2.06032,1.58195,2.49272,0.000391546,0.000391546,0.000391546
46,177.749,1.2715,0.94379,1.54428,0.60035,0.47407,0.48421,0.21291,2.04814,1.64849,2.45001,0.000367967,0.000367967,0.000367967
47,181.584,1.40333,0.95371,1.58703,0.58042,0.51111,0.49939,0.22058,2.08843,1.65162,2.48859,0.000344389,0.000344389,0.000344389
48,184.682,1.25548,0.94,1.52226,0.55607,0.51111,0.51099,0.23187,2.13424,1.5512,2.59338,0.00032081,0.00032081,0.00032081
49,187.824,1.2608,0.95673,1.49248,0.53922,0.51111,0.50956,0.23738,2.05703,1.53588,2.55214,0.000297232,0.000297232,0.000297232
50,191.39,1.28357,0.92585,1.52486,0.55889,0.5083,0.50101,0.23958,1.98023,1.48767,2.46135,0.000273654,0.000273654,0.000273654
51,198.408,1.32652,1.07585,1.73273,0.66124,0.49259,0.55962,0.2482,2.04321,1.52863,2.51552,0.000250075,0.000250075,0.000250075
52,201.887,1.23236,0.9331,1.61435,0.59757,0.5177,0.54036,0.21556,2.11745,1.62859,2.60523,0.000226497,0.000226497,0.000226497
53,204.976,1.27699,0.97201,1.7035,0.6203,0.59362,0.53318,0.22522,2.07955,1.63374,2.52949,0.000202918,0.000202918,0.000202918
54,208.389,1.12855,0.82663,1.5127,0.61319,0.58626,0.53,0.25228,2.00642,1.47571,2.46298,0.00017934,0.00017934,0.00017934
55,213.173,1.1579,0.80741,1.54426,0.58437,0.53889,0.52662,0.24159,1.96823,1.42594,2.43457,0.000155761,0.000155761,0.000155761
56,216.838,1.21217,0.86469,1.68415,0.59311,0.54705,0.51924,0.24725,1.95117,1.43348,2.44895,0.000132183,0.000132183,0.000132183
57,219.963,1.22214,0.84691,1.59428,0.61015,0.53503,0.51511,0.25574,1.9269,1.46615,2.43335,0.000108604,0.000108604,0.000108604
58,223.128,1.27544,0.80716,1.57467,0.61066,0.53889,0.52506,0.25237,1.92937,1.47571,2.41873,8.50255e-05,8.50255e-05,8.50255e-05
59,226.701,1.00917,0.73392,1.46441,0.61437,0.53889,0.52255,0.25462,1.92,1.48719,2.38798,6.1447e-05,6.1447e-05,6.1447e-05
60,231.098,1.16419,0.729,1.62489,0.56865,0.59444,0.52646,0.25269,1.9052,1.48006,2.37559,3.78685e-05,3.78685e-05,3.78685e-05
